Link,Name,Benefits,Image,Detail
https://www.card-gorilla.com/card/detail/13,신한카드 Mr.Life,"['공과금', '편의점', '병원/약국', '생활', '온라인쇼핑', '택시', '푸드', '대형마트', '주유소', '온라인쇼핑', '유의사항']",https://api.card-gorilla.com:8080/storage/card/13/card_img/28201/13card.png,"['월납요금(공과금) 10% 할인서비스', '편의점 10% 할인', '병원/약국업종 10% 할인', '세탁소 업종 10% 할인', '온라인 쇼핑 10% 할인', '택시 10% 할인', '식음료 10% 할인', '3대 마트 10% 할인', '4대 정유사 리터당 60원 할인', '인테이크몰 20% 할인', '꼭 확인해주세요!']"
https://www.card-gorilla.com/card/detail/49,삼성카드 & MILEAGE PLATINUM (스카이패스),"['대한항공', '백화점', '주유소', '카페', '편의점', '택시', '공항라운지', '공항', '공항', '프리미엄 서비스', '선택형']",https://api.card-gorilla.com:8080/storage/card/49/card_img/27705/49card.png,"['모든 가맹점 이용금액 1,000원당 1마일리지 기본적립', '백화점 이용금액 1,000원당 2마일리지 특별적립', '주유 이용금액 1,000원당 2마일리지 특별적립', '커피 이용금액 1,000원당 2마일리지 특별적립', '편의점 이용금액 1,000원당 2마일리지 특별적립', '택시 이용금액 1,000원당 2마일리지 특별적립', '인천공항 라운지 본인 무료 이용', '인천공항 발렛파킹 무료 이용', '공항 커피 서비스', '아멕스 PLATINUM 등급 서비스', '여행의 설레임을 담은 디자인으로 리뉴얼 된 삼성카드 & MILEAGE PLATINUM']"
https://www.card-gorilla.com/card/detail/2441,KB국민 My WE:SH 카드,"['간편결제', '푸드', '통신', '디지털구독', '선택형', '선택형', '선택형', '기타', '선택형', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2441/card_img/28283/2441card.png,"['[나한테 진심 서비스] KB Pay 10% 할인', '[나한테 진심 서비스] 음식점, 편의점 10% 할인', '[나한테 진심 서비스] 이동통신요금 10% 할인', '[나한테 진심 서비스] OTT 30% 할인', '[더욱 진심 서비스] 먹는데 진심-배달/커피 5% 할인', '[더욱 진심 서비스] 노는데 진심-택시/커피 5%, 영화관 30% 할인', '[더욱 진심 서비스] 관리에 진심-미용실, 스포츠, 온라인서점, 올리브영 5% 할인', 'WE:SH 서비스', '카드 플레이트 선택 가능', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2553,카드의정석 EVERY MILE SKYPASS,[],https://api.card-gorilla.com:8080/storage/card/2553/card_img/29710/2553card.png,[]
https://www.card-gorilla.com/card/detail/2669,현대카드 M,"['적립', '적립', '적립', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2669/card_img/32807/2669card.png,"['[기본 혜택] 국내외 가맹점 1.5% M포인트 적립전월 이용 금액 50만원 이상 이용 시', '[추가 혜택] 온라인 쇼핑몰・외식・해외 가맹점 5% M포인트 적립(월 1만 M포인트 한도)전월 이용 금액 100만원 이상 이용 시', 'M 긴급적립(선지급 포인트 서비스)', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/51,삼성카드 taptap O,"['선택형', '대중교통', '통신', '영화/문화', '유의사항']",https://api.card-gorilla.com:8080/storage/card/51/card_img/27707/51card.png,"['라이프스타일 패키지 선택', '대중교통·택시 10% 결제일할인', '이동통신요금 10% 결제일할인', 'CGV 및 롯데시네마 5,000원 결제일할인', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2646,현대카드ZERO Edition3(할인형),"['할인', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2646/card_img/32392/2646card.png,"['실적・한도 제한 없이 국내외 가맹점 이용 금액의 0.8% 청구 할인', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2261,LOCA LIKIT 1.2,"['모든가맹점', '온라인쇼핑', '유의사항']",https://api6.card-gorilla.com:8080/storage/card/2261/card_img/21011/2261card.png,"['어디서나 1.2% 결제일 할인국내 모든 가맹점 1.2%, 해외 모든 이용금액 1.2%', '온라인 1.5% 결제일 할인', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2376,삼성 iD SIMPLE 카드,"['모든가맹점', '모든가맹점', '온라인쇼핑', '영화', '선택형', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2376/card_img/27725/2376card.png,"['국내외 가맹점 0.7% 할인', '국내외 가맹점 1% 할인', '온라인쇼핑몰 멤버십 50% 할인', '영화 3,000원 할인', '내 마음대로 고르는 디자인!', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/39,신한카드 Deep Oil,"['주유', '자동차/하이패스', '편의점', '카페', '택시', '영화', '유의사항']",https://api.card-gorilla.com:8080/storage/card/39/card_img/31864/39card.png,"['4개의 정유사 중 직접 고른 1개 정유사 주유 이용금액 10% 결제일 할인', '정비소(스피드메이트), 주차장 이용금액 10% 결제일 할인', 'GS25, CU 5% 결제일 할인', '스타벅스, 이디야 5% 결제일 할인', '택시 5% 결제일 할인', '롯데시네마 일반관 5천원 현장 할인', '꼭 확인하세요!']"
